step,rewards,times
31869,-41571,1.081
21816,-24885,0.761
2260,-2755,0.179
8997,-10383,0.5
7426,-8119,0.699
3660,-4254,0.158
3507,-3903,0.186
3170,-3170,0.156
3784,-4081,0.18
6105,-6897,0.292
1282,-1282,0.068
4102,-4498,0.176
3670,-4066,0.157
3346,-3643,0.144
1673,-1772,0.08
11647,-13924,0.531
656,-854,0.034
1476,-1674,0.086
4373,-4868,0.185
459,-459,0.026
2686,-2983,0.127
484,-484,0.021
1895,-1895,0.079
4357,-4852,0.156
2904,-3300,0.107
1463,-1562,0.06
2716,-3013,0.101
1021,-1120,0.046
1713,-1812,0.084
1775,-2072,0.09
4040,-4535,0.187
336,-336,0.017
2864,-2963,0.143
1068,-1464,0.052
3061,-3160,0.141
1304,-1601,0.055
454,-454,0.018
4415,-5207,0.173
1795,-1894,0.067
763,-1159,0.028
1330,-1429,0.055
2487,-2685,0.091
2492,-2789,0.127
628,-826,0.036
1454,-1454,0.085
2956,-3253,0.143
1463,-1859,0.081
624,-723,0.05
738,-936,0.045
2974,-3172,0.13
1054,-1054,0.056
432,-432,0.017
2497,-2596,0.107
1810,-1909,0.076
518,-716,0.027
2412,-3105,0.089
374,-374,0.014
411,-609,0.015
1676,-2171,0.073
4045,-4639,0.155
519,-717,0.048
1688,-1787,0.152
225,-324,0.024
2706,-3003,0.122
547,-844,0.029
335,-335,0.016
836,-836,0.042
594,-594,0.038
1113,-1212,0.098
1348,-1546,0.09
514,-514,0.051
4560,-5154,0.327
1453,-1552,0.135
692,-692,0.073
226,-325,0.035
518,-518,0.051
1145,-1343,0.108
1039,-1039,0.065
1080,-1080,0.104
1084,-1480,0.082
1304,-1601,0.148
1307,-1307,0.073
2890,-3286,0.14
1875,-2073,0.104
763,-763,0.048
643,-643,0.044
526,-625,0.033
1793,-1892,0.096
1362,-1362,0.068
565,-763,0.034
848,-848,0.053
1188,-1782,0.073
622,-721,0.033
1033,-1033,0.05
1984,-2182,0.084
879,-879,0.043
312,-312,0.016
1091,-1190,0.05
2025,-2124,0.083
266,-266,0.011
718,-718,0.03
502,-502,0.026
216,-315,0.012
789,-987,0.042
1122,-1122,0.084
2916,-3510,0.144
788,-788,0.094
176,-176,0.013
374,-374,0.034
1664,-1664,0.083
304,-403,0.025
2802,-3000,0.197
277,-376,0.02
809,-809,0.051
1492,-1591,0.076
611,-908,0.032
608,-707,0.03
2026,-2521,0.144
262,-262,0.017
1180,-1180,0.069
625,-625,0.033
228,-228,0.014
1270,-1666,0.064
274,-373,0.011
3264,-3561,0.161
243,-342,0.015
471,-669,0.022
1258,-1753,0.065
262,-361,0.012
1838,-1838,0.087
1926,-2421,0.112
300,-399,0.017
1105,-1204,0.064
298,-298,0.015
1900,-1999,0.09
381,-381,0.015
1872,-2070,0.082
1986,-2184,0.092
1660,-1660,0.086
358,-358,0.018
631,-730,0.032
414,-414,0.023
336,-534,0.027
1101,-1200,0.074
1019,-1217,0.055
1112,-1112,0.053
238,-238,0.014
2511,-2907,0.111
622,-622,0.028
1061,-1160,0.041
186,-186,0.009
1248,-1248,0.056
950,-1346,0.044
907,-1204,0.037
1644,-1644,0.126
422,-422,0.021
934,-934,0.051
508,-607,0.034
945,-945,0.059
225,-324,0.013
1181,-1181,0.058
710,-809,0.04
1157,-1256,0.06
650,-749,0.042
624,-624,0.027
1192,-1291,0.064
3588,-4776,0.158
358,-358,0.013
1085,-1283,0.057
743,-743,0.033
669,-669,0.041
1484,-1979,0.118
884,-884,0.044
796,-895,0.037
366,-366,0.017
571,-670,0.03
2721,-3018,0.132
276,-276,0.013
773,-872,0.035
152,-152,0.006
291,-291,0.012
415,-415,0.026
609,-609,0.043
957,-1155,0.066
1528,-1726,0.084
1077,-1176,0.054
232,-430,0.011
411,-411,0.032
706,-805,0.045
1245,-1245,0.057
216,-216,0.016
827,-926,0.049
1056,-1155,0.054
394,-394,0.043
828,-828,0.055
278,-377,0.016
818,-818,0.051
748,-847,0.04
538,-538,0.029
679,-778,0.036
301,-301,0.014
216,-315,0.011
471,-669,0.023
963,-963,0.049
453,-453,0.026
1432,-1432,0.06
570,-669,0.032
164,-164,0.008
475,-673,0.023
716,-815,0.041
792,-891,0.041
862,-862,0.046
278,-278,0.018
1079,-1376,0.065
301,-499,0.02
650,-848,0.039
263,-263,0.015
354,-354,0.017
2485,-2683,0.102
589,-688,0.033
211,-310,0.011
705,-804,0.034
1110,-1209,0.048
467,-665,0.023
628,-628,0.027
340,-340,0.015
362,-362,0.014
696,-696,0.026
1591,-1789,0.065
167,-266,0.007
835,-835,0.032
168,-168,0.007
308,-308,0.012
288,-288,0.012
633,-732,0.04
512,-611,0.032
822,-822,0.042
1068,-1266,0.052
896,-896,0.097
546,-645,0.033
857,-1253,0.036
717,-717,0.031
206,-206,0.014
733,-1030,0.042
360,-459,0.02
1453,-1453,0.065
200,-200,0.009
1927,-2125,0.087
811,-1207,0.043
166,-166,0.014
970,-1267,0.069
377,-377,0.024
793,-892,0.039
822,-822,0.038
150,-249,0.01
1370,-1667,0.065
174,-273,0.012
475,-475,0.024
196,-196,0.009
1153,-1351,0.059
706,-706,0.03
162,-162,0.01
444,-444,0.024
337,-337,0.017
144,-144,0.008
1313,-1610,0.057
307,-406,0.014
1480,-1678,0.063
751,-751,0.032
244,-244,0.011
771,-1068,0.038
376,-376,0.022
338,-437,0.015
1269,-1269,0.07
712,-712,0.099
540,-639,0.052
849,-948,0.076
290,-488,0.029
1290,-1488,0.076
567,-765,0.029
841,-940,0.081
564,-663,0.033
591,-591,0.047
167,-266,0.014
139,-238,0.009
660,-660,0.049
312,-312,0.02
376,-376,0.029
372,-372,0.029
1066,-2056,0.065
566,-566,0.034
301,-301,0.023
1179,-1179,0.064
457,-457,0.02
256,-355,0.018
142,-142,0.008
1258,-1357,0.054
448,-448,0.022
172,-370,0.008
945,-1341,0.036
453,-453,0.019
924,-1122,0.04
756,-756,0.031
260,-359,0.01
340,-340,0.016
1336,-1732,0.056
770,-869,0.034
853,-952,0.033
356,-653,0.015
286,-385,0.014
323,-323,0.015
1030,-1030,0.05
162,-162,0.007
425,-623,0.024
240,-339,0.012
247,-346,0.011
553,-553,0.025
192,-192,0.008
704,-803,0.031
384,-384,0.016
179,-278,0.011
609,-609,0.03
584,-683,0.026
693,-792,0.031
512,-611,0.022
382,-382,0.018
472,-472,0.027
707,-707,0.04
753,-852,0.035
194,-194,0.009
594,-693,0.029
442,-442,0.057
224,-224,0.015
503,-602,0.039
512,-611,0.031
749,-848,0.042
456,-456,0.025
513,-612,0.031
1059,-1356,0.061
167,-266,0.009
268,-268,0.014
547,-547,0.029
1373,-1571,0.072
174,-273,0.009
159,-159,0.013
879,-978,0.043
846,-1044,0.054
533,-533,0.024
571,-868,0.034
216,-216,0.009
118,-118,0.008
138,-138,0.011
635,-734,0.029
495,-495,0.024
152,-152,0.009
482,-581,0.023
888,-987,0.046
841,-841,0.035
491,-491,0.022
316,-415,0.013
511,-610,0.024
106,-106,0.006
98,-98,0.008
496,-496,0.028
287,-287,0.014
180,-180,0.009
289,-289,0.014
914,-914,0.059
543,-642,0.022
631,-928,0.035
428,-527,0.019
150,-150,0.006
1440,-1539,0.059
228,-228,0.01
106,-304,0.006
349,-349,0.018
224,-224,0.009
425,-425,0.018
455,-554,0.019
273,-273,0.01
706,-706,0.034
146,-146,0.009
566,-665,0.027
526,-526,0.023
686,-785,0.025
108,-108,0.007
646,-745,0.024
469,-667,0.018
967,-1165,0.04
114,-114,0.005
1047,-1047,0.061
88,-88,0.006
357,-357,0.015
288,-288,0.021
148,-148,0.009
238,-238,0.011
470,-470,0.028
202,-202,0.008
815,-815,0.037
356,-356,0.017
666,-765,0.025
1121,-1418,0.054
511,-610,0.02
108,-108,0.006
569,-767,0.037
328,-427,0.018
608,-905,0.03
62,-62,0.004
172,-172,0.01
627,-627,0.037
134,-134,0.009
745,-745,0.048
218,-218,0.011
749,-848,0.032
198,-198,0.014
987,-1185,0.055
813,-912,0.035
434,-632,0.022
158,-158,0.011
125,-125,0.009
518,-617,0.023
457,-457,0.025
418,-715,0.023
426,-426,0.02
508,-607,0.03
144,-144,0.009
568,-568,0.026
428,-428,0.026
725,-725,0.04
400,-499,0.018
676,-676,0.031
126,-126,0.005
625,-823,0.029
177,-177,0.011
86,-86,0.004
804,-804,0.043
312,-510,0.013
1144,-1243,0.054
132,-132,0.006
242,-242,0.014
153,-252,0.007
276,-276,0.017
746,-1241,0.04
104,-104,0.007
945,-1044,0.049
250,-250,0.016
315,-414,0.016
567,-567,0.028
498,-597,0.024
589,-688,0.048
148,-148,0.01
630,-630,0.05
720,-720,0.038
158,-158,0.008
152,-152,0.01
119,-119,0.005
148,-148,0.011
106,-106,0.004
399,-399,0.018
110,-110,0.008
271,-271,0.011
311,-410,0.018
759,-957,0.043
298,-397,0.016
454,-751,0.023
264,-264,0.014
376,-574,0.017
712,-712,0.042
204,-204,0.019
94,-94,0.027
188,-188,0.021
717,-816,0.082
199,-199,0.012
410,-509,0.032
122,-122,0.007
154,-154,0.011
292,-391,0.019
182,-182,0.011
224,-323,0.016
120,-120,0.01
860,-860,0.05
559,-559,0.035
220,-220,0.015
396,-594,0.023
245,-443,0.018
183,-282,0.009
692,-692,0.048
604,-604,0.04
104,-104,0.007
94,-94,0.005
218,-416,0.014
475,-574,0.084
801,-801,0.071
176,-176,0.015
132,-132,0.01
798,-798,0.06
431,-629,0.03
797,-896,0.056
160,-358,0.009
192,-390,0.013
120,-120,0.01
458,-557,0.033
1077,-1374,0.059
120,-219,0.006
506,-605,0.029
132,-132,0.007
937,-1234,0.047
451,-649,0.022
127,-226,0.008
644,-644,0.061
1079,-1475,0.059
612,-909,0.028
298,-298,0.015
574,-574,0.025
86,-86,0.004
451,-649,0.021
134,-233,0.007
370,-370,0.015
661,-859,0.033
314,-512,0.015
551,-551,0.024
96,-96,0.006
733,-733,0.032
166,-265,0.008
201,-300,0.01
86,-86,0.006
134,-233,0.005
375,-573,0.015
747,-945,0.033
392,-392,0.018
258,-258,0.012
1043,-1241,0.048
116,-116,0.006
98,-98,0.004
210,-507,0.011
138,-138,0.007
587,-686,0.028
86,-86,0.004
374,-374,0.019
378,-378,0.019
347,-347,0.022
446,-446,0.02
104,-104,0.008
301,-400,0.016
716,-914,0.038
192,-192,0.009
366,-366,0.02
571,-670,0.026
323,-521,0.019
310,-310,0.012
112,-112,0.007
369,-369,0.016
272,-371,0.013
110,-110,0.006
604,-604,0.026
436,-634,0.019
186,-186,0.008
88,-88,0.006
295,-295,0.017
588,-687,0.026
108,-108,0.006
691,-988,0.032
252,-450,0.011
110,-110,0.005
136,-136,0.005
108,-108,0.006
202,-202,0.009
395,-395,0.016
303,-303,0.013
154,-154,0.006
334,-334,0.013
1001,-1001,0.043
242,-242,0.012
782,-881,0.031
90,-90,0.006
125,-323,0.007
279,-279,0.018
110,-209,0.039
411,-411,0.048
178,-178,0.014
422,-422,0.058
142,-142,0.041
266,-266,0.059
502,-502,0.044
112,-112,0.01
304,-304,0.037
